Division,Zila,Upazila/Thana,CityCorp/Paurasava,Union/Ward,Name
10,,,,,BARISAL
10,04,,,,BARGUNA
10,04,09,,,AMTALI
10,04,09,20,,AMTALI PAURASAVA
10,04,09,20,01,WARD NO-01
10,04,09,20,02,WARD NO-02
10,04,09,20,03,WARD NO-03
10,04,09,20,04,WARD NO-04
10,04,09,20,05,WARD NO-05
10,04,09,20,06,WARD NO-06
10,04,09,20,07,WARD NO-07
10,04,09,20,08,WARD NO-08
10,04,09,20,09,WARD NO-09
10,04,09,99,13,AMTALI
10,04,09,99,15,ARPANGASHIA
10,04,09,99,23,ATHARAGASHIA
10,04,09,99,47,CHOWRA
10,04,09,99,63,GULISAKHALI
10,04,09,99,71,HALDIA
10,04,09,99,87,KUKUA
10,04,19,,,BAMNA
10,04,19,99,23,BAMNA
10,04,19,99,47,BUKABUNIA
10,04,19,99,71,DAUATALA
10,04,19,99,95,RAMNA
10,04,28,,,BARGUNA SADAR
10,04,28,40,,BARGUNA PAURASAVA
10,04,28,40,01,WARD NO-01
10,04,28,40,02,WARD NO-02
10,04,28,40,03,WARD NO-03
10,04,28,40,04,WARD NO-04
10,04,28,40,05,WARD NO-05
10,04,28,40,06,WARD NO-06
10,04,28,40,07,WARD NO-07
10,04,28,40,08,WARD NO-08
10,04,28,40,09,WARD NO-09
10,04,28,99,17,AYLA PATAKATA
10,04,28,99,19,BADARKHALI
10,04,28,99,28,BARGUNA
10,04,28,99,38,BURIR CHAR
10,04,28,99,47,DHALUA
10,04,28,99,57,PHULJHURY
10,04,28,99,66,GAURICHANNA
10,04,28,99,76,KEORABUNIA
10,04,28,99,85,M.BALIATALI
10,04,28,99,95,NALTONA
10,04,47,,,BETAGI
10,04,47,60,,BETAGI PAURASAVA
10,04,47,60,01,WARD NO-01
10,04,47,60,02,WARD NO-02
10,04,47,60,03,WARD NO-03
10,04,47,60,04,WARD NO-04
10,04,47,60,05,WARD NO-05
10,04,47,60,06,WARD NO-06
10,04,47,60,07,WARD NO-07
10,04,47,60,08,WARD NO-08
10,04,47,60,09,WARD NO-09
10,04,47,99,11,BETAGI
10,04,47,99,23,BIBICHINI
10,04,47,99,35,BURA MAZUMDAR
10,04,47,99,47,HOSNABAD
10,04,47,99,59,KAZIRABAD
10,04,47,99,71,MOKAMIA
10,04,47,99,83,SARISHAMURI
10,04,85,,,PATHARGHATA
